filter_file,telescope,camera,filter,surveys,description
wfi_604nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),604nm,,
wfi_646nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),646nm,,
wfi_696nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),696nm,,
wfi_753nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),753nm,,
wfi_815nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),815nm,,
wfi_856nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),856nm,,
wfi_914nm.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),914nm,,
wfi_b.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),B/99,,
wfi_b123.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),B/123,,
wfi_i.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),i,,
wfi_r.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),Rc/162,,
wfi_u.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),u,,
wfi_v.xml,The Max Planck Gesellschaft (MPG) telescope,The Wide Field Imager (WFI),V/89,,
wircam_h.xml,Canada France Hawaii Telescope (CFHT),Wide-field InfraRed Camera (WIRCam),H,,
wircam_j.xml,Canada France Hawaii Telescope (CFHT),Wide-field InfraRed Camera (WIRCam),J,,
wircam_ks.xml,Canada France Hawaii Telescope (CFHT),Wide-field InfraRed Camera (WIRCam),Ks,,
wircam_y.xml,Canada France Hawaii Telescope (CFHT),Wide-field InfraRed Camera (WIRCam),Y,,
wircs_j.xml,Palomar 200-inch Hale Telescope (P200),Wide Infrared Camera (WIRC),J,,
wircs_k.xml,Palomar 200-inch Hale Telescope (P200),Wide Infrared Camera (WIRC),Ks,,
