filter_file,telescope,camera,filter,surveys,description,wavelength_region
suprime_ip.xml,The Subaru telescope,SuprimeCam,ip,,,opt
suprime_n816.xml,The Subaru telescope,SuprimeCam,nb816,,,opt
suprime_n921.xml,The Subaru telescope,HyperSuprimeCam,nb921,,,opt
suprime_nb711.xml,The Subaru telescope,SuprimeCam,nb711,,,opt
suprime_nb816.xml,The Subaru telescope,HyperSuprimeCam,nb816,,,opt
suprime_r.xml,The Subaru telescope,HyperSuprimeCam,r,,,opt
suprime_rc.xml,The Subaru telescope,SuprimeCam,rc,,,opt
suprime_rp.xml,The Subaru telescope,SuprimeCam,rp,,,opt
suprime_v.xml,The Subaru telescope,SuprimeCam,v,,,opt
suprime_y.xml,The Subaru telescope,HyperSuprimeCam,y,,,opt
suprime_z.xml,The Subaru telescope,HyperSuprimeCam,z,,,opt
suprime_zp.xml,The Subaru telescope,SuprimeCam,zp,,,opt
suprime_zpp.xml,The Subaru telescope,SuprimeCam,zpp,,,opt
tifkam_ks.xml,The Michigan Dartmouth MIT (MDM) Observatory,The Instrument Formerly Known as Mosaic (TIFKAM),Ks,,,IR
ukidss_h.xml,The United Kingdom Infrared Telescope (UKIRT),The Wide Field Camera (WFCAM),H,,,IR
ukidss_j.xml,The United Kingdom Infrared Telescope (UKIRT),The Wide Field Camera (WFCAM),J,,,IR
ukidss_k.xml,The United Kingdom Infrared Telescope (UKIRT),The Wide Field Camera (WFCAM),K,,,IR
ukidss_y.xml,The United Kingdom Infrared Telescope (UKIRT),The Wide Field Camera (WFCAM),Y,,,opt
vista_h.xml,The 4.1m Visible and Infrared Survey Telescope for Astronomy (VISTA),The VISTA InfraRed CAMera (VIRCAM),H,,,IR
vista_j.xml,The 4.1m Visible and Infrared Survey Telescope for Astronomy (VISTA),The VISTA InfraRed CAMera (VIRCAM),J,,,IR
vista_ks.xml,The 4.1m Visible and Infrared Survey Telescope for Astronomy (VISTA),The VISTA InfraRed CAMera (VIRCAM),Ks,,,IR
vista_y.xml,The 4.1m Visible and Infrared Survey Telescope for Astronomy (VISTA),The VISTA InfraRed CAMera (VIRCAM),Y,,,opt
